cnc_id,cnc_date,SpindleSpeed_max,Servocurrent_mean,SpindleLoad_max
20220823-0000411,2023-10-08 08:02:42.279,2226.04,163.57,32011.0
20220823-0000412,2023-10-08 08:03:55.267,2230.08,150.27,31855.81
20220823-0000415,2023-10-08 08:20:12.229,2227.05,162.12,32102.98
20220823-0000417,2023-10-08 08:27:40.752,2228.06,157.11,31397.63
20220823-0000418,2023-10-08 08:30:25.760,2226.04,154.34,31495.7
20220823-0000419,2023-10-08 08:33:47.259,2223.01,149.34,31305.39
20220823-0000420,2023-10-08 08:36:01.264,2227.05,151.65,32001.49
20220823-0000421,2023-10-08 08:38:04.256,2227.05,155.9,31690.88
20220823-0000422,2023-10-08 08:38:39.255,2226.04,149.51,31991.77
20220823-0000423,2023-10-08 08:39:57.255,2223.01,155.74,31959.22
20220823-0000424,2023-10-08 08:41:10.255,2231.09,152.36,31736.22
20220823-0000425,2023-10-08 08:42:30.246,2223.01,150.75,31856.28
20220823-0000427,2023-10-08 08:44:57.254,2226.04,161.05,31396.92
20220823-0000428,2023-10-08 08:46:10.252,2223.01,145.67,31791.23
20220823-0000429,2023-10-08 08:47:23.254,2227.05,143.22,31762.76
20220823-0000431,2023-10-08 08:49:50.739,2226.04,161.76,32033.02
20220823-0000432,2023-10-08 08:51:04.754,2223.01,161.71,32044.84
20220823-0000432,2023-10-08 08:51:04.754,2223.01,156.86,33647.08
20220823-0000433,2023-10-08 08:51:30.741,2224.02,152.88,32032.77
20220823-0000434,2023-10-08 08:53:12.259,2226.04,145.08,31173.21
20220823-0000435,2023-10-08 08:54:07.253,2226.04,141.26,31904.51
20220823-0000436,2023-10-08 08:55:20.237,2226.04,179.07,31400.24
20220823-0000437,2023-10-08 08:56:34.245,2226.04,149.68,31777.01
20220823-0000438,2023-10-08 08:57:48.243,2226.04,152.29,32043.56
20220823-0000440,2023-10-08 09:00:14.234,2224.02,157.44,30621.76
20220823-0000441,2023-10-08 09:01:28.238,2228.06,148.95,32039.24
20220823-0000442,2023-10-08 09:02:42.233,2228.06,165.54,31722.24
20220823-0000443,2023-10-08 09:03:55.238,2228.06,155.24,31928.7
20220823-0000444,2023-10-08 09:05:09.240,2227.05,147.16,31288.73
20220823-0000445,2023-10-08 09:06:22.735,2224.02,145.46,31288.46
20220823-0000446,2023-10-08 09:07:35.735,2226.04,161.75,32052.95
20220823-0000447,2023-10-08 09:08:49.734,2215.91,134.04,32087.82
20220823-0000447,2023-10-08 09:08:49.734,2227.05,148.93,31770.12
20220823-0000448,2023-10-08 09:10:03.233,2223.01,146.64,31891.98
20220823-0000449,2023-10-08 09:11:16.743,2228.06,167.65,32005.75
20220823-0000451,2023-10-08 09:13:43.740,2227.05,156.66,31690.82
20220823-0000452,2023-10-08 09:14:56.738,2226.04,148.33,31776.54
20220823-0000453,2023-10-08 09:16:10.732,2223.01,145.88,31170.0
20220823-0000454,2023-10-08 09:17:23.732,2228.06,149.42,31287.83
20220823-0000455,2023-10-08 09:18:50.733,2224.02,150.19,31775.77
20220823-0000456,2023-10-08 09:20:35.737,2227.05,145.34,31556.8
20220823-0000456,2023-10-08 09:20:35.737,2215.91,130.81,31872.37
20220823-0000457,2023-10-08 09:21:48.733,2232.1,160.58,31170.62
20220823-0000458,2023-10-08 09:23:02.735,2224.02,155.77,31599.11
20220823-0000459,2023-10-08 09:24:15.731,2228.06,160.17,31856.33
20220823-0000460,2023-10-08 09:25:28.737,2223.01,146.27,31855.31
20220823-0000462,2023-10-08 09:26:42.733,2227.05,158.52,31597.98
20220823-0000463,2023-10-08 09:28:05.981,2226.04,138.7,31871.97
20220823-0000464,2023-10-08 09:29:10.223,2228.06,144.44,31931.75
20220823-0000465,2023-10-08 09:30:23.235,2227.05,155.67,31286.53
20220823-0000466,2023-10-08 09:31:37.233,2226.04,178.95,31599.33
20220823-0000467,2023-10-08 09:32:50.227,2226.04,148.9,31689.74
20220823-0000468,2023-10-08 09:34:04.226,2226.04,171.05,31856.28
20220823-0000469,2023-10-08 09:35:17.225,2232.1,142.71,31397.76
